author_id,profession,city,religion,h_index,publication_count,domain_diversity,social_influence,primary_domain,secondary_domain,avg_citation_rate,collab_network_size,cross_disciplinary,institutional_rank,soft_skills_score,background_score,friendly_circle_reach,author_cluster,aim_score,temporal_decay_factor
AUTH_0001,entrepreneur,Sydney,christian,14,13,0.767,0.245,mediatech,fintech,29.73,21,True,96,0.453,0.604,3578,emerging_voice,0.2579,0.693
AUTH_0002,lawyer,London,agnostic,9,312,0.671,0.534,spacetech,cleantech,49.48,332,True,702,0.527,0.815,7431,emerging_voice,0.4285,0.46
AUTH_0003,physician,Sydney,buddhist,43,58,0.364,0.158,mediatech,edtech,25.63,59,False,862,0.747,0.687,20132,established_expert,0.2839,0.562
AUTH_0004,cultural_anthropologist,New York,jewish,9,363,0.668,0.229,fintech,mediatech,12.28,347,False,220,0.677,0.779,74947,emerging_voice,0.3924,0.703
AUTH_0005,educator,Seoul,agnostic,54,357,0.962,0.995,edtech,healthtech,15.19,500,True,594,0.815,0.249,41204,established_expert,0.7589,0.34
AUTH_0006,biotech_researcher,Seoul,atheist,69,361,0.372,0.984,biotech,mediatech,15.32,344,True,962,0.915,0.412,14129,thought_leader,0.6932,0.82
AUTH_0007,cultural_anthropologist,Nairobi,hindu,71,209,0.976,0.749,edtech,edtech,44.13,17,True,755,0.947,0.826,54064,thought_leader,0.698,0.862
AUTH_0008,urban_planner,Sydney,hindu,0,267,0.933,0.538,agritech,spacetech,3.96,345,False,639,0.52,0.878,94439,emerging_voice,0.4277,0.93
AUTH_0009,lawyer,Sydney,sikh,9,234,0.473,0.63,govtech,spacetech,12.58,340,True,915,0.826,0.816,14070,emerging_voice,0.3691,0.845
AUTH_0010,physician,Lagos,sikh,53,209,0.398,0.466,spacetech,socialtech,47.33,15,False,489,0.304,0.481,98859,established_expert,0.4628,0.573
AUTH_0011,investor,New York,syncretic,5,387,0.128,0.247,edtech,healthtech,6.75,347,True,578,0.963,0.572,33686,emerging_voice,0.286,0.837
AUTH_0012,biologist,Singapore,sikh,34,316,0.827,0.538,socialtech,cleantech,16.45,130,True,286,0.917,0.395,61010,specialist,0.55,0.699
AUTH_0013,urban_planner,Toronto,atheist,23,99,0.295,0.484,socialtech,cleantech,49.04,431,True,304,0.459,0.344,1954,specialist,0.2858,0.796
AUTH_0014,policy_analyst,Tokyo,muslim,12,391,0.287,0.211,healthtech,edtech,27.82,85,True,419,0.615,0.675,38275,emerging_voice,0.3371,0.323
AUTH_0015,biologist,Cairo,agnostic,34,296,0.136,0.756,cleantech,edtech,49.85,228,False,993,0.364,0.478,43787,specialist,0.4454,0.525
AUTH_0016,urban_planner,Mumbai,atheist,15,332,0.849,0.498,cleantech,spacetech,41.82,246,True,468,0.686,0.507,78661,emerging_voice,0.4879,0.656
AUTH_0017,entrepreneur,Berlin,muslim,12,270,0.919,0.015,fintech,govtech,39.19,140,False,639,0.785,0.72,43165,emerging_voice,0.3638,0.897
AUTH_0018,biologist,São Paulo,syncretic,59,148,0.71,0.158,cleantech,spacetech,34.67,238,False,204,1.0,0.883,14079,established_expert,0.4541,0.466
AUTH_0019,biologist,Stockholm,buddhist,34,85,0.331,0.825,agritech,fintech,23.68,43,True,773,0.977,0.888,95024,specialist,0.3927,0.772
AUTH_0020,economist,Mumbai,secular,53,336,0.189,0.489,agritech,healthtech,22.45,491,True,876,0.554,0.985,48247,established_expert,0.4891,0.681
AUTH_0021,sociologist,Cairo,syncretic,14,382,0.157,0.448,fintech,govtech,25.44,489,True,745,0.848,0.894,68447,emerging_voice,0.361,0.511
AUTH_0022,sociologist,Stockholm,muslim,10,48,0.489,0.745,mediatech,biotech,29.53,292,False,687,0.386,0.483,87307,emerging_voice,0.3058,0.959
AUTH_0023,journalist,Toronto,christian,20,190,0.38,0.324,biotech,edtech,8.29,321,True,691,0.357,0.554,55676,specialist,0.3058,0.64
AUTH_0024,sociologist,Tokyo,sikh,21,317,0.514,0.69,fintech,healthtech,22.07,210,True,406,0.909,0.797,29141,specialist,0.4728,0.533
AUTH_0025,journalist,Toronto,atheist,9,331,0.878,0.855,spacetech,govtech,29.23,493,True,461,0.936,0.657,24772,emerging_voice,0.5436,0.525
AUTH_0026,urban_planner,Seoul,atheist,42,66,0.703,0.829,fintech,spacetech,25.67,14,False,317,0.426,0.371,63836,established_expert,0.4864,0.434
AUTH_0027,entrepreneur,Dubai,buddhist,53,83,0.835,0.801,biotech,govtech,43.77,288,True,729,0.892,0.881,37463,established_expert,0.5542,0.359
AUTH_0028,data_scientist,Tokyo,agnostic,30,215,0.675,0.623,socialtech,mediatech,1.31,268,True,736,0.401,0.543,80684,specialist,0.4721,0.547
AUTH_0029,lawyer,Mumbai,jewish,69,243,0.328,0.753,biotech,agritech,14.02,414,False,448,0.923,0.795,50778,thought_leader,0.5792,0.537
AUTH_0030,entrepreneur,Seoul,agnostic,46,197,0.955,0.032,agritech,agritech,22.47,44,True,543,0.557,0.452,36628,established_expert,0.4569,0.475
AUTH_0031,urban_planner,Sydney,agnostic,78,45,0.159,0.398,mediatech,spacetech,38.57,426,True,129,0.981,0.714,59079,thought_leader,0.4069,0.626
AUTH_0032,economist,Toronto,secular,73,136,0.686,0.767,govtech,mediatech,14.84,494,False,495,0.471,0.846,53327,thought_leader,0.6141,0.508
AUTH_0033,cultural_anthropologist,Dubai,agnostic,45,25,0.145,0.495,cleantech,mediatech,0.9,60,False,138,0.918,0.782,52955,established_expert,0.298,0.556
AUTH_0034,policy_analyst,Tokyo,sikh,38,244,0.834,0.368,socialtech,cleantech,39.94,376,True,612,0.632,0.974,75921,specialist,0.4954,0.704
AUTH_0035,engineer,Stockholm,buddhist,35,286,0.369,0.941,healthtech,govtech,16.19,183,False,295,0.385,0.741,49867,specialist,0.5275,0.927
AUTH_0036,cultural_anthropologist,New York,muslim,73,119,0.582,0.723,spacetech,edtech,46.73,23,False,807,0.647,0.949,38041,thought_leader,0.576,0.914
AUTH_0037,sociologist,Sydney,hindu,74,371,0.616,0.262,biotech,fintech,23.54,86,False,703,0.652,0.916,92316,thought_leader,0.6201,0.839
AUTH_0038,biotech_researcher,Mumbai,secular,58,289,0.152,0.462,spacetech,cleantech,40.91,386,True,593,0.351,0.539,91900,established_expert,0.4703,0.345
AUTH_0039,lawyer,Lagos,christian,78,393,0.943,0.889,fintech,socialtech,2.16,311,True,251,0.818,0.522,30815,thought_leader,0.8359,0.678
AUTH_0040,engineer,Lagos,jewish,53,286,0.577,0.388,fintech,govtech,42.43,52,True,53,0.488,0.739,79126,established_expert,0.5215,0.328
AUTH_0041,economist,Toronto,hindu,53,152,0.237,0.33,govtech,mediatech,32.9,355,False,264,0.834,0.591,94938,established_expert,0.3749,0.749
AUTH_0042,lawyer,Lagos,syncretic,22,55,0.926,0.524,mediatech,cleantech,40.85,141,False,81,0.561,0.525,74155,specialist,0.3945,0.47
AUTH_0043,policy_analyst,Nairobi,atheist,72,124,0.61,0.849,agritech,spacetech,37.9,76,True,513,0.822,0.477,12903,thought_leader,0.6058,0.606
AUTH_0044,physician,Mumbai,sikh,76,307,0.806,0.864,spacetech,fintech,36.38,291,True,586,0.665,0.748,22316,thought_leader,0.7535,0.397
AUTH_0045,educator,London,atheist,46,59,0.939,0.2,biotech,govtech,47.18,112,False,817,0.504,0.754,53727,established_expert,0.4183,0.771
AUTH_0046,data_scientist,Mumbai,sikh,64,78,0.41,0.025,fintech,fintech,41.65,378,True,357,0.518,0.564,27214,thought_leader,0.35,0.665
AUTH_0047,educator,Seoul,jewish,58,59,0.336,0.863,socialtech,spacetech,30.76,305,True,357,0.546,0.566,22713,established_expert,0.4723,0.87
AUTH_0048,journalist,Sydney,agnostic,28,276,0.36,0.781,mediatech,mediatech,6.1,63,False,794,0.68,0.993,71146,specialist,0.4642,0.876
AUTH_0049,entrepreneur,Sydney,muslim,52,31,0.993,0.867,healthtech,edtech,35.71,429,True,780,0.89,0.514,18734,established_expert,0.5695,0.704
AUTH_0050,economist,Lagos,muslim,20,226,0.511,0.992,cleantech,edtech,43.78,453,False,96,0.758,0.4,48838,specialist,0.4836,0.765
AUTH_0051,urban_planner,Berlin,jewish,11,52,0.226,0.123,spacetech,agritech,39.66,131,False,661,0.359,0.643,78744,emerging_voice,0.1343,0.805
AUTH_0052,engineer,Tokyo,atheist,68,276,0.654,0.277,healthtech,edtech,27.05,205,True,318,0.789,0.784,31378,thought_leader,0.5622,0.341
AUTH_0053,physician,Singapore,jewish,0,23,0.873,0.012,spacetech,edtech,9.36,496,True,567,0.862,0.771,86044,emerging_voice,0.1885,0.594
AUTH_0054,economist,Singapore,secular,39,54,0.285,0.983,edtech,cleantech,5.1,476,True,919,0.892,0.53,48923,specialist,0.4171,0.621
AUTH_0055,engineer,Mumbai,muslim,31,183,0.457,0.049,biotech,spacetech,42.8,289,True,97,0.623,0.843,18422,specialist,0.3012,0.385
AUTH_0056,policy_analyst,Nairobi,atheist,11,144,0.445,0.419,healthtech,mediatech,39.84,200,False,492,0.681,0.588,74241,emerging_voice,0.2833,0.652
AUTH_0057,data_scientist,New York,hindu,63,278,0.378,0.49,socialtech,healthtech,1.49,249,True,340,0.943,0.361,17203,thought_leader,0.5331,0.539
AUTH_0058,lawyer,Seoul,syncretic,77,163,0.929,0.968,fintech,govtech,7.46,386,True,244,0.543,0.456,83486,thought_leader,0.7304,0.92
AUTH_0059,data_scientist,São Paulo,hindu,21,311,0.901,0.157,healthtech,spacetech,35.01,374,False,677,0.497,0.39,6605,specialist,0.4406,0.575
AUTH_0060,cultural_anthropologist,Singapore,syncretic,66,215,0.969,0.687,healthtech,govtech,15.29,207,True,515,0.7,0.613,75005,thought_leader,0.6697,0.774
AUTH_0061,journalist,Toronto,agnostic,44,211,0.338,0.655,biotech,edtech,14.13,78,False,40,0.577,0.903,90607,established_expert,0.4581,0.466
AUTH_0062,biologist,Cairo,sikh,46,361,0.279,0.368,fintech,biotech,12.48,255,False,182,0.972,0.58,72364,established_expert,0.4709,0.545
AUTH_0063,policy_analyst,Tokyo,agnostic,71,332,0.634,0.283,fintech,agritech,49.42,332,False,883,0.494,0.725,85489,thought_leader,0.5979,0.509
AUTH_0064,cultural_anthropologist,São Paulo,jewish,28,382,0.884,0.42,cleantech,socialtech,15.06,440,True,482,0.338,0.708,76162,specialist,0.5498,0.961
AUTH_0065,urban_planner,Lagos,hindu,67,98,0.116,0.004,agritech,cleantech,6.88,201,False,172,0.346,0.237,38219,thought_leader,0.3075,0.619
AUTH_0066,economist,Dubai,christian,66,139,0.661,0.701,mediatech,socialtech,6.33,63,True,510,0.439,0.36,34571,thought_leader,0.5729,0.882
AUTH_0067,entrepreneur,Tokyo,sikh,34,376,0.184,0.815,spacetech,govtech,13.96,202,False,820,0.595,0.909,21960,specialist,0.5068,0.379
AUTH_0068,investor,London,christian,20,259,0.864,0.852,govtech,agritech,12.42,147,True,520,0.456,0.715,52958,specialist,0.5427,0.872
AUTH_0069,biologist,London,sikh,47,360,0.196,0.897,fintech,cleantech,30.74,101,True,953,0.897,0.372,25079,established_expert,0.5631,0.802
AUTH_0070,urban_planner,Nairobi,atheist,38,360,0.593,0.314,healthtech,healthtech,10.88,370,False,704,0.542,0.738,93213,specialist,0.4944,0.755
AUTH_0071,economist,Berlin,jewish,36,355,0.698,0.926,mediatech,biotech,1.14,133,True,636,0.908,0.888,58173,specialist,0.6283,0.881
AUTH_0072,engineer,Lagos,syncretic,28,110,0.697,0.331,mediatech,govtech,49.83,426,True,118,0.768,0.557,84282,specialist,0.3586,0.73
AUTH_0073,educator,Tokyo,syncretic,11,38,0.149,0.794,healthtech,cleantech,20.68,235,False,444,0.521,0.512,15606,emerging_voice,0.2461,0.674
AUTH_0074,investor,Mumbai,hindu,65,73,0.245,0.221,fintech,edtech,33.71,295,True,872,0.826,0.992,72039,thought_leader,0.3572,0.623
AUTH_0075,policy_analyst,Tokyo,christian,17,276,0.277,0.734,biotech,mediatech,31.77,421,False,788,0.713,0.925,72398,emerging_voice,0.3997,0.482
AUTH_0076,investor,Mumbai,buddhist,41,53,0.733,0.521,socialtech,mediatech,28.72,197,False,375,0.711,0.919,10302,established_expert,0.4208,0.662
AUTH_0077,policy_analyst,Dubai,buddhist,72,327,0.117,0.72,fintech,healthtech,22.74,246,False,175,0.454,0.529,18805,thought_leader,0.5829,0.856
AUTH_0078,biotech_researcher,Lagos,christian,73,51,0.483,0.255,cleantech,socialtech,43.9,214,False,194,0.304,0.795,1032,thought_leader,0.4286,0.705
AUTH_0079,journalist,Berlin,christian,0,47,0.841,0.472,fintech,cleantech,11.48,45,True,742,0.569,0.988,80573,emerging_voice,0.2861,0.759
AUTH_0080,educator,Mumbai,jewish,22,209,0.556,0.559,fintech,mediatech,47.86,453,False,711,0.61,0.502,63490,specialist,0.4045,0.839
AUTH_0081,physician,Stockholm,atheist,10,347,0.96,0.493,biotech,govtech,18.87,166,False,920,0.99,0.918,36109,emerging_voice,0.4991,0.644
AUTH_0082,economist,Dubai,sikh,12,370,0.343,0.236,healthtech,edtech,40.1,383,True,485,0.864,0.341,65583,emerging_voice,0.3428,0.394
AUTH_0083,investor,Nairobi,christian,43,216,0.668,0.572,fintech,edtech,17.51,165,False,669,0.504,0.414,84594,established_expert,0.5065,0.577
AUTH_0084,urban_planner,Cairo,muslim,34,281,0.5,0.97,socialtech,socialtech,23.1,388,False,537,0.748,0.627,45604,specialist,0.5535,0.637
AUTH_0085,policy_analyst,Singapore,syncretic,24,36,0.264,0.29,govtech,cleantech,35.17,256,True,329,0.314,0.24,70219,specialist,0.2128,0.315
AUTH_0086,educator,Tokyo,buddhist,80,373,0.138,0.937,govtech,cleantech,10.34,459,True,885,0.767,0.979,31028,visionary,0.6815,0.743
AUTH_0087,investor,Dubai,syncretic,69,179,0.391,0.468,mediatech,edtech,3.91,84,False,303,0.874,0.633,59617,thought_leader,0.5028,0.301
AUTH_0088,educator,Sydney,sikh,10,240,0.821,0.061,agritech,biotech,41.27,141,True,752,0.349,0.443,28398,emerging_voice,0.3314,0.972
AUTH_0089,engineer,Toronto,secular,57,204,0.1,0.035,mediatech,edtech,49.67,159,True,308,0.989,0.372,41375,established_expert,0.3285,0.315
AUTH_0090,sociologist,Cairo,syncretic,80,196,0.149,0.524,edtech,agritech,25.37,118,True,52,0.772,0.998,58507,visionary,0.5126,0.827
AUTH_0091,lawyer,Seoul,jewish,18,226,0.14,0.818,edtech,fintech,6.06,32,True,972,0.735,0.318,37807,emerging_voice,0.3676,0.31
AUTH_0092,physician,Lagos,atheist,64,235,0.605,0.712,cleantech,agritech,24.75,386,True,19,0.543,0.482,82050,thought_leader,0.6049,0.512
AUTH_0093,data_scientist,London,jewish,40,35,0.602,0.949,edtech,biotech,38.39,455,False,985,0.588,0.554,83572,established_expert,0.4677,0.953
AUTH_0094,sociologist,Berlin,syncretic,5,312,0.762,0.38,socialtech,socialtech,27.04,333,True,534,0.377,0.566,5659,emerging_voice,0.4019,0.914
AUTH_0095,sociologist,Tokyo,atheist,15,47,0.203,0.449,spacetech,mediatech,30.8,86,False,564,0.566,0.815,44034,emerging_voice,0.2064,0.696
AUTH_0096,entrepreneur,London,buddhist,42,45,0.144,0.417,socialtech,socialtech,28.83,292,True,990,0.619,0.663,4797,established_expert,0.2817,0.365
AUTH_0097,data_scientist,Sydney,hindu,0,61,0.122,0.625,socialtech,spacetech,21.0,175,False,574,0.864,0.37,84067,emerging_voice,0.1799,0.441
AUTH_0098,investor,London,syncretic,3,174,0.985,0.627,socialtech,spacetech,9.78,64,False,723,0.9,0.768,35685,emerging_voice,0.4199,0.59
AUTH_0099,lawyer,São Paulo,hindu,2,296,0.783,0.639,healthtech,cleantech,14.19,168,False,688,0.382,0.319,35966,emerging_voice,0.4394,0.38
AUTH_0100,investor,Nairobi,syncretic,59,241,0.309,0.224,cleantech,agritech,19.91,363,False,808,0.903,0.46,63998,established_expert,0.4336,0.321
